freq,sens_15,sens_60
100,0.02187768,0.01093884
150,0.023556806,0.011778403
185,0.112489015,0.056244508
230,0.030297056,0.015148528
345,0.049821011,0.024910506
460,0.165533913,0.082766956
650,0.536107196,0.268053598
870,1.304763084,0.652381542
