id,sdbid,name,_r,raj2000,dej2000,pmra,pmde,main_id,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,type_short,type_long,star_comp_no,teff,e_teff,plx_arcsec,e_plx_arcsec,lstar,e_lstar,rstar,e_rstar,logg,e_logg,mh,e_mh,a_v,distance,lstar_1pc,e_lstar_1pc,disk_r_comp_no,temp,e_temp,ldisk_lstar,e_ldisk_lstar,rdisk_bb,e_rdisk_bb,ldisk_1pc,e_ldisk_1pc,lam0,e_lam0,beta,e_beta,dmin,e_dmin,q,e_q,model_comps,parameters,evidence,chisq,dof,model_mtime,url,phot_url,mnest_url,model_url
sdb-v2-173336.52-370613.8,sdb-v2-173336.52-370613.8,HIP 85927,-1,263.4021672,-37.10382355,-8.53,-30.8,* lam Sco,B2IV+DA7.9,2013MNRAS.435.2077H,5.71,0.75,2007A&A...474..653V,bC*,beta Cep Variable,0,24764.6,368.552,0.00571,0.00075,60491.5,17356.1,13.5036,1.88992,4.06386,0.432591,-2.14586,1.21187,0,175.1313485,1.97769,0.130215,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[2.476459e+04,4.063858e+00,-2.145861e+00,-2.231819e+00]",-21.5375,19.5431,13,1665341591,http://drgmk.com/sdb/seds/masters/sdb-v2-173336.52-370613.8/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-173336.52-370613.8/public/sdb-v2-173336.52-370613.8-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-173336.52-370613.8/public/sdb-v2-173336.52-370613.8-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-173336.52-370613.8/public/sdb-v2-173336.52-370613.8-mnest/phoenix_m_.json
sdb-v2-173456.07+123336.1,sdb-v2-173456.07+123336.1,HIP 86032,-1,263.7336227,12.56003739,108.07,-221.57,* alf Oph,A5IVnn,2001AJ....121.2148G,67.13,1.06,2007A&A...474..653V,**,Double or multiple star,0,7846.84,25.1085,0.06713,0.00106,25.2778,0.808706,2.71965,0.0449352,3.35233,0.0322842,-0.0802984,0.135295,0,14.89646954,0.113758,0.000913129,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[7.846837e+03,3.352333e+00,-8.029844e-02,-1.477328e+00]",-35.4515,29.5095,19,1665341661,http://drgmk.com/sdb/seds/masters/sdb-v2-173456.07+123336.1/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-173456.07+123336.1/public/sdb-v2-173456.07+123336.1-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-173456.07+123336.1/public/sdb-v2-173456.07+123336.1-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-173456.07+123336.1/public/sdb-v2-173456.07+123336.1-mnest/phoenix_m_.json
sdb-v2-173719.13-425952.2,sdb-v2-173719.13-425952.2,HIP 86228,-1,264.3297077,-42.99782799,5.54,-3.12,* tet Sco,F1III,1989ApJS...69..301G,10.86,1.49,2007A&A...474..653V,*,Star,0,6438.66,22.9593,0.01086,0.00149,1275.36,349.124,28.6444,3.83319,2.06252,0.0490268,-0.212847,0.0394156,0,92.08103131,0.149785,0.00204379,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[6.438658e+03,2.062523e+00,-2.128469e-01,-1.014569e+00]",-32.6997,24.2161,16,1665341721,http://drgmk.com/sdb/seds/masters/sdb-v2-173719.13-425952.2/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-173719.13-425952.2/public/sdb-v2-173719.13-425952.2-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-173719.13-425952.2/public/sdb-v2-173719.13-425952.2-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-173719.13-425952.2/public/sdb-v2-173719.13-425952.2-mnest/phoenix_m_.json
sdb-v2-174229.28-390147.9,sdb-v2-174229.28-390147.9,HIP 86670,-1,265.62198,-39.02998308,-6.05,-25.54,* kap Sco,B1.5III,2009A&A...501..297Z,6.75,0.17,2007A&A...474..653V,bC*,beta Cep Variable,0,24375.2,312.953,0.00675,0.00017,19893.4,1534.15,7.97029,0.254881,3.96275,0.383108,-1.56563,0.970808,0,148.1481481,0.91251,0.0527497,1,11.6592,2.82894,0.000240743,0.00065995,79582,40658.2,0.000213247,0.000603871,204.772,309.747,1.44924,0.877657,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[2.437525e+04,3.962753e+00,-1.565633e+00,-2.538988e+00,1.066670e+00,2.311271e+00,1.449244e+00,7.552617e+00]",-29.0751,26.4143,11,1665341760,http://drgmk.com/sdb/seds/masters/sdb-v2-174229.28-390147.9/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-174229.28-390147.9/public/sdb-v2-174229.28-390147.9-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-174229.28-390147.9/public/sdb-v2-174229.28-390147.9-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-174229.28-390147.9/public/sdb-v2-174229.28-390147.9-mnest/phoenix_m+modbb_disk_r_.json
sdb-v2-174328.35+043402.3,sdb-v2-174328.35+043402.3,HIP 86742,-1,265.868136,4.5673043,-41.45,159.34,* bet Oph,K2IIICN0.5,1989ApJS...71..245K,39.85,0.17,2007A&A...474..653V,PM*,High proper-motion Star,0,4652.74,8.78231,0.03985,0.00017,61.4904,0.60916,12.0644,0.083576,3.94097,0.0865476,0.460993,0.0343321,0,25.09410289,0.0976504,0.000536571,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[4.652736e+03,3.940966e+00,4.609927e-01,-6.355636e-01]",-103.457,163.465,20,1665341797,http://drgmk.com/sdb/seds/masters/sdb-v2-174328.35+043402.3/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-174328.35+043402.3/public/sdb-v2-174328.35+043402.3-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-174328.35+043402.3/public/sdb-v2-174328.35+043402.3-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-174328.35+043402.3/public/sdb-v2-174328.35+043402.3-mnest/phoenix_m_.json
sdb-v2-174735.08-400737.2,sdb-v2-174735.08-400737.2,HIP 87073,-1,266.8961714,-40.12699704,0.01,-6.24,* iot01 Sco,F2Ia,1989ApJS...69..301G,1.69,0.15,2007A&A...474..653V,s*y,Yellow Supergiant,0,6995.41,30.881,0.00169,0.00015,15775.5,2879.32,85.3914,7.67221,2.01388,0.0115612,-0.0273683,0.0259954,0,591.7159763,0.0449543,0.000288223,1,699.499,246.855,0.00252305,0.00147728,20.0815,17.2869,0.000113397,6.68E-05,16.806,5.63181,1.97381,0.72739,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[6.995413e+03,2.013875e+00,-2.736827e-02,-1.681435e+00,2.844787e+00,1.225463e+00,1.973810e+00,-2.391586e-01]",-357.725,651.353,15,1665341899,http://drgmk.com/sdb/seds/masters/sdb-v2-174735.08-400737.2/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-174735.08-400737.2/public/sdb-v2-174735.08-400737.2-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-174735.08-400737.2/public/sdb-v2-174735.08-400737.2-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-174735.08-400737.2/public/sdb-v2-174735.08-400737.2-mnest/phoenix_m+modbb_disk_r_.json
sdb-v2-174951.48-370235.8,sdb-v2-174951.48-370235.8,HIP 87261,-1,267.4645037,-37.04327638,41.717,11.975,* G Sco,K2III,2006AJ....132..161G,24.734,0.1575,2020yCat.1350....0G,*,Star,0,4637.59,19.9314,0.024734,0.0001575,115.424,1.72899,16.6431,0.176732,2.15874,0.107596,0.371695,0.0962008,0,40.43017708,0.0706855,0.000550366,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[4.637594e+03,2.158735e+00,3.716953e-01,-7.705610e-01]",-176.384,316.811,18,1665341863,http://drgmk.com/sdb/seds/masters/sdb-v2-174951.48-370235.8/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-174951.48-370235.8/public/sdb-v2-174951.48-370235.8-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-174951.48-370235.8/public/sdb-v2-174951.48-370235.8-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-174951.48-370235.8/public/sdb-v2-174951.48-370235.8-mnest/phoenix_m_.json
sdb-v2-180548.49-302526.8,sdb-v2-180548.49-302526.8,HIP 88635,1.652,271.452034,-30.42409,-53.92,-180.9,* gam02 Sgr,K0+III,1989ApJS...71..245K,33.67,0.18,2007A&A...474..653V,PM*,High proper-motion Star,0,4843.67,16.4782,0.03367,0.00018,65.0502,1.06572,11.4481,0.113147,2.81657,0.464991,0.136421,0.0718142,0,29.7000297,0.0737417,0.000904271,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[4.843673e+03,2.816568e+00,1.364214e-01,-8.279102e-01]",-25.4838,12.5282,18,1665342007,http://drgmk.com/sdb/seds/masters/sdb-v2-180548.49-302526.8/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-180548.49-302526.8/public/sdb-v2-180548.49-302526.8-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-180548.49-302526.8/public/sdb-v2-180548.49-302526.8-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-180548.49-302526.8/public/sdb-v2-180548.49-302526.8-mnest/phoenix_m_.json
sdb-v2-181737.64-364542.1,sdb-v2-181737.64-364542.1,HIP 89642,-1,274.4068127,-36.7616852,-129.56,-166.26,* eta Sgr,M2III,1982MSS...C03....0H,22.35,0.24,2007A&A...474..653V,LP?,Long-Period Variable Candidate,0,3277.52,22.0405,0.02235,0.00024,413.344,11.6901,62.8023,0.95876,3.03333,0.890026,-2.12598,0.388627,0,44.74272931,0.206076,0.00489077,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.277516e+03,3.033326e+00,-2.125982e+00,2.944518e-01]",-22.3547,29.8657,17,1665342051,http://drgmk.com/sdb/seds/masters/sdb-v2-181737.64-364542.1/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-181737.64-364542.1/public/sdb-v2-181737.64-364542.1-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-181737.64-364542.1/public/sdb-v2-181737.64-364542.1-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-181737.64-364542.1/public/sdb-v2-181737.64-364542.1-mnest/phoenix_m_.json
sdb-v2-182059.64-294941.2,sdb-v2-182059.64-294941.2,HIP 89931,-1,275.2485148,-29.82810164,32.54,-25.57,* del Sgr,K2.5IIIaCN0.5,1989ApJS...71..245K,9.38,0.18,2007A&A...474..653V,*,Star,0,4347.09,6.53212,0.00938,0.00018,1559.98,58.3929,69.6207,1.3394,2.03033,0.0248211,0.46768,0.029741,0,106.6098081,0.137172,0.000761583,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[4.347088e+03,2.030326e+00,4.676803e-01,-3.697806e-01]",-348.631,650.498,22,1665342080,http://drgmk.com/sdb/seds/masters/sdb-v2-182059.64-294941.2/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-182059.64-294941.2/public/sdb-v2-182059.64-294941.2-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-182059.64-294941.2/public/sdb-v2-182059.64-294941.2-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-182059.64-294941.2/public/sdb-v2-182059.64-294941.2-mnest/phoenix_m_.json
