,id,sdbid,name,_r,raj2000,dej2000,pmra,pmde,main_id,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,type_short,type_long,star_comp_no,teff,e_teff,plx_arcsec,e_plx_arcsec,lstar,e_lstar,rstar,e_rstar,logg,e_logg,mh,e_mh,a_v,distance,lstar_1pc,e_lstar_1pc,disk_r_comp_no,temp,e_temp,ldisk_lstar,e_ldisk_lstar,rdisk_bb,e_rdisk_bb,ldisk_1pc,e_ldisk_1pc,lam0,e_lam0,beta,e_beta,dmin,e_dmin,q,e_q,model_comps,parameters,evidence,chisq,dof,model_mtime,url,phot_url,mnest_url,model_url,ang_size_band7
12,sdb-v2-034729.08+240618.5,sdb-v2-034729.08+240618.5,HIP 17702,-1.0,56.8711523,24.10513565,19.34,-43.67,* eta Tau,B7III,None,8.09,0.42,2007A&A...474..653V,Be*,Be Star,0,11652.0,285.187,0.00809,0.00042,1611.79,203.851,9.84235,0.589236,3.12826,0.545739,-0.65756,0.628986,0.0,123.60939431396787,0.104692,0.0069062,1,468.201,25.8637,0.00021751,2.38416e-05,14.2801,1.73911,2.28325e-05,2.3281e-06,114.017,194.463,1.60758,0.91242,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[1.165205e+04,3.128258e+00,-6.575598e-01,-2.208267e+00,2.670432e+00,2.056968e+00,1.607581e+00,-2.776087e-01]",-35.482,22.1626,9,1665332847.169253,http://drgmk.com/sdb/seds/masters/sdb-v2-034729.08+240618.5/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-034729.08+240618.5/public/sdb-v2-034729.08+240618.5-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-034729.08+240618.5/public/sdb-v2-034729.08+240618.5-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-034729.08+240618.5/public/sdb-v2-034729.08+240618.5-mnest/phoenix_m+modbb_disk_r_.json,0.0007378405383055494
13,sdb-v2-035407.92+315301.1,sdb-v2-035407.92+315301.1,HIP 18246,0.168,58.5330823,31.8836587,-8.025,-14.749,* zet Per,B1Ib,1968ApJS...17..371L,4.34,0.19,2007A&A...474..653V,V*,Variable Star,0,17029.8,204.366,0.00434,0.00019,11155.9,967.604,12.1418,0.539908,2.03606,0.0301776,0.447223,0.0440321,0.0,230.4147465437788,0.210106,0.00513948,1,963.625,31.7465,0.000469129,2.55015e-05,8.85585,0.701789,9.84603e-05,5.12223e-06,10.499,0.40092,0.506023,0.0737258,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[1.702978e+04,2.036056e+00,4.472227e-01,-2.557293e+00,2.983908e+00,1.021147e+00,5.060228e-01,-9.298803e-01]",-307.113,539.76,30,1665333016.908902,http://drgmk.com/sdb/seds/masters/sdb-v2-035407.92+315301.1/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-035407.92+315301.1/public/sdb-v2-035407.92+315301.1-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-035407.92+315301.1/public/sdb-v2-035407.92+315301.1-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-035407.92+315301.1/public/sdb-v2-035407.92+315301.1-mnest/phoenix_m+modbb_disk_r_.json,0.0004883014236912504
14,sdb-v2-035801.77-133030.7,sdb-v2-035801.77-133030.7,HIP 18543,-1.0,59.50736229,-13.50851938,61.57,-113.11,* gam Eri,M0III-IIIb,1989ApJS...71..245K,16.04,0.58,2007A&A...474..653V,LP?,Long-Period Variable Candidate,0,3911.25,3.6127,0.01604,0.00058,684.343,49.2241,56.9596,2.06729,2.27406,0.0123867,0.478565,0.0186014,0.0,62.344139650872826,0.176155,0.00147043,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.911251e+03,2.274062e+00,4.785646e-01,-7.783636e-02]",-176.188,302.794,19,1665333017.0014641,http://drgmk.com/sdb/seds/masters/sdb-v2-035801.77-133030.7/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-035801.77-133030.7/public/sdb-v2-035801.77-133030.7-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-035801.77-133030.7/public/sdb-v2-035801.77-133030.7-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-035801.77-133030.7/public/sdb-v2-035801.77-133030.7-mnest/phoenix_m_.json,0.008466160175710585
16,sdb-v2-045659.62+330957.9,sdb-v2-045659.62+330957.9,HIP 23015,-1.0,74.24841676,33.16609377,3.817,-17.786,* iot Aur,K3II-III,1989ApJS...71..245K,7.2491,0.3819,2020yCat.1350....0G,V*,Variable Star,0,4037.11,5.96152,0.0072491,0.0003819,3064.79,326.509,113.126,6.0599,4.48179,0.0166614,-0.0970269,0.0184394,0.0,137.94815908181707,0.160463,0.000988649,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[4.037110e+03,4.481795e+00,-9.702692e-02,-1.733514e-01]",-651.238,1253.6,20,1665333172.450874,http://drgmk.com/sdb/seds/masters/sdb-v2-045659.62+330957.9/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-045659.62+330957.9/public/sdb-v2-045659.62+330957.9-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-045659.62+330957.9/public/sdb-v2-045659.62+330957.9-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-045659.62+330957.9/public/sdb-v2-045659.62+330957.9-mnest/phoenix_m_.json,0.007599092100872615
17,sdb-v2-050527.67-222215.7,sdb-v2-050527.67-222215.7,HIP 23685,-1.0,76.36527237,-22.37103441,21.13,-73.11,* eps Lep,K4III,1988MSS...C04....0H,15.29,0.19,2007A&A...474..653V,PM*,High proper-motion Star,0,4138.53,7.01331,0.01529,0.00019,455.316,11.1947,41.505,0.565025,2.06801,0.0534425,0.431881,0.056785,0.0,65.40222367560497,0.106559,0.00071273,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[4.138532e+03,2.068009e+00,4.318805e-01,-3.940179e-01]",-31.9559,20.6254,42,1665333251.731667,http://drgmk.com/sdb/seds/masters/sdb-v2-050527.67-222215.7/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-050527.67-222215.7/public/sdb-v2-050527.67-222215.7-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-050527.67-222215.7/public/sdb-v2-050527.67-222215.7-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-050527.67-222215.7/public/sdb-v2-050527.67-222215.7-mnest/phoenix_m_.json,0.005880619635837913
18,sdb-v2-050750.99-050511.2,sdb-v2-050750.99-050511.2,HIP 23875,-1.0,76.96243955,-5.08644597,-82.82,-75.39,* bet Eri,A3IV,2003AJ....126.2048G,36.5,0.42,2007A&A...474..653V,PM*,High proper-motion Star,0,7784.53,32.225,0.0365,0.00042,44.7058,1.10759,3.67475,0.0572259,2.30989,0.254769,0.243326,0.170453,0.0,27.397260273972606,0.0595519,0.00047129,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[7.784532e+03,2.309887e+00,2.433257e-01,-1.744228e+00]",-24.4862,11.8588,27,1665333321.618709,http://drgmk.com/sdb/seds/masters/sdb-v2-050750.99-050511.2/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-050750.99-050511.2/public/sdb-v2-050750.99-050511.2-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-050750.99-050511.2/public/sdb-v2-050750.99-050511.2-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-050750.99-050511.2/public/sdb-v2-050750.99-050511.2-mnest/phoenix_m_.json,0.0012428990301830056
19,sdb-v2-051432.27-081205.9,sdb-v2-051432.27-081205.9,HIP 24436,-1.0,78.63446707,-8.20163836,1.31,0.5,* bet Ori,B8Iae,1943ApJ....98..153M,3.78,0.34,2007A&A...474..653V,s*b,Blue Supergiant,0,14500.5,235.77,0.00378,0.00034,270857.0,53007.3,82.0397,7.52089,2.07178,0.0587291,-1.23655,0.470806,0.0,264.55026455026456,3.83986,0.273471,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[1.450049e+04,2.071777e+00,-1.236547e+00,-1.016143e+00]",-29.5124,28.5123,16,1665333380.037388,http://drgmk.com/sdb/seds/masters/sdb-v2-051432.27-081205.9/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-051432.27-081205.9/public/sdb-v2-051432.27-081205.9-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-051432.27-081205.9/public/sdb-v2-051432.27-081205.9-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-051432.27-081205.9/public/sdb-v2-051432.27-081205.9-mnest/phoenix_m_.json,0.002873631327311524
20,sdb-v2-052507.86+062058.9,sdb-v2-052507.86+062058.9,HIP 25336,-1.0,81.28276356,6.34970326,-8.11,-12.88,* gam Ori,B2V,2006MNRAS.371..252L,12.92,0.52,2007A&A...474..653V,V*,Variable Star,0,22595.9,1776.98,0.01292,0.00052,9715.56,2015.11,6.36993,0.483594,3.3255,0.793086,-3.20984,0.786317,0.0,77.39938080495357,1.58902,0.299268,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[2.259595e+04,3.325500e+00,-3.209840e+00,-2.169656e+00]",-24.7302,23.4793,15,1665333448.707993,http://drgmk.com/sdb/seds/masters/sdb-v2-052507.86+062058.9/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-052507.86+062058.9/public/sdb-v2-052507.86+062058.9-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-052507.86+062058.9/public/sdb-v2-052507.86+062058.9-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-052507.86+062058.9/public/sdb-v2-052507.86+062058.9-mnest/phoenix_m_.json,0.0007626273207722867
21,sdb-v2-052617.51+283626.8,sdb-v2-052617.51+283626.8,HIP 25428,-1.0,81.57297133,28.60745172,22.76,-173.58,* bet Tau,B7III,1994AJ....107.1556G,24.36,0.34,2007A&A...474..653V,PM*,High proper-motion Star,0,14108.4,162.909,0.02436,0.00034,864.739,38.9287,4.91504,0.0757503,4.03948,0.17775,-1.99417,0.218136,0.0,41.050903119868636,0.511644,0.0193594,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[1.410837e+04,4.039480e+00,-1.994175e+00,-1.843973e+00]",-24.2501,15.7367,15,1665333452.359446,http://drgmk.com/sdb/seds/masters/sdb-v2-052617.51+283626.8/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-052617.51+283626.8/public/sdb-v2-052617.51+283626.8-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-052617.51+283626.8/public/sdb-v2-052617.51+283626.8-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-052617.51+283626.8/public/sdb-v2-052617.51+283626.8-mnest/phoenix_m_.json,0.001109480124732803
22,sdb-v2-052814.72-204534.0,sdb-v2-052814.72-204534.0,HIP 25606,-1.0,82.06134649,-20.75944105,-5.02,-86.01,* bet Lep,G5II-IIIa:,1989ApJS...71..245K,20.34,0.18,2007A&A...474..653V,**,Double or Multiple Star,0,5235.37,12.8468,0.02034,0.00018,174.854,3.38447,16.0772,0.181809,3.03559,0.140878,-0.216091,0.0491581,0.0,49.164208456243855,0.0723545,0.000439728,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[5.235368e+03,3.035589e+00,-2.160913e-01,-9.706253e-01]",-34.0604,26.4306,20,1665333518.429224,http://drgmk.com/sdb/seds/masters/sdb-v2-052814.72-204534.0/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-052814.72-204534.0/public/sdb-v2-052814.72-204534.0-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-052814.72-204534.0/public/sdb-v2-052814.72-204534.0-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-052814.72-204534.0/public/sdb-v2-052814.72-204534.0-mnest/phoenix_m_.json,0.00303023666766338
