,id,sdbid,name,_r,raj2000,dej2000,pmra,pmde,main_id,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,type_short,type_long,star_comp_no,teff,e_teff,plx_arcsec,e_plx_arcsec,lstar,e_lstar,rstar,e_rstar,logg,e_logg,mh,e_mh,a_v,distance,lstar_1pc,e_lstar_1pc,disk_r_comp_no,temp,e_temp,ldisk_lstar,e_ldisk_lstar,rdisk_bb,e_rdisk_bb,ldisk_1pc,e_ldisk_1pc,lam0,e_lam0,beta,e_beta,dmin,e_dmin,q,e_q,model_comps,parameters,evidence,chisq,dof,model_mtime,url,phot_url,mnest_url,model_url,ang_size_band7
23,sdb-v2-053200.40-001756.7,sdb-v2-053200.40-001756.7,HIP 25930,-1.0,83.00166706,-0.29909511,0.64,-0.69,* del Ori,O9.5IINwk,2020A&A...639A..81B,4.71,0.58,2007A&A...474..653V,SB*,Spectroscopic Binary,0,22848.6,1057.23,0.00471,0.00058,38695.8,11452.1,12.7306,1.67509,3.12223,0.406399,-0.746031,0.968728,0.0,212.31422505307856,0.897186,0.143343,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[2.284862e+04,3.122230e+00,-7.460310e-01,-2.437069e+00]",-17.3336,17.1228,14,1665333518.402498,http://drgmk.com/sdb/seds/masters/sdb-v2-053200.40-001756.7/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-053200.40-001756.7/public/sdb-v2-053200.40-001756.7-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-053200.40-001756.7/public/sdb-v2-053200.40-001756.7-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-053200.40-001756.7/public/sdb-v2-053200.40-001756.7-mnest/phoenix_m_.json,0.0005556290781430924
24,sdb-v2-053243.82-174920.2,sdb-v2-053243.82-174920.2,HIP 25985,-1.0,83.18256716,-17.82228927,3.56,1.18,* alf Lep,F0Ib,2001AJ....121.2148G,1.47,0.14,2007A&A...474..653V,V*,Variable Star,0,7105.66,21.2892,0.00147,0.00014,34642.8,6734.06,122.726,11.8523,2.0471,0.0426052,-0.472038,0.0676464,0.0,680.2721088435375,0.0748215,0.000597401,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[7.105656e+03,2.047096e+00,-4.720376e-01,-1.487284e+00]",-44.9895,48.3714,20,1665333604.672087,http://drgmk.com/sdb/seds/masters/sdb-v2-053243.82-174920.2/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-053243.82-174920.2/public/sdb-v2-053243.82-174920.2-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-053243.82-174920.2/public/sdb-v2-053243.82-174920.2-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-053243.82-174920.2/public/sdb-v2-053243.82-174920.2-mnest/phoenix_m_.json,0.0016717414102423306
25,sdb-v2-053525.98-055435.6,sdb-v2-053525.98-055435.6,HIP 26241,-1.0,83.85825795,-5.90990098,1.42,-0.46,* iot Ori,O9IIIvar,2011ApJS..193...24S,1.4,0.22,2007A&A...474..653V,SB*,Spectroscopic Binary,0,27529.2,1365.47,0.0014,0.00022,456434.0,159068.0,30.086,4.78484,2.1428,0.0851205,-1.74205,1.27796,0.0,714.2857142857143,0.898392,0.122506,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[2.752917e+04,2.142795e+00,-1.742048e+00,-2.757396e+00]",-21.0691,17.9925,15,1665333591.987054,http://drgmk.com/sdb/seds/masters/sdb-v2-053525.98-055435.6/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-053525.98-055435.6/public/sdb-v2-053525.98-055435.6-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-053525.98-055435.6/public/sdb-v2-053525.98-055435.6-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-053525.98-055435.6/public/sdb-v2-053525.98-055435.6-mnest/phoenix_m_.json,0.00039030819773161544
26,sdb-v2-053612.81-011206.9,sdb-v2-053612.81-011206.9,HIP 26311,-1.0,84.05338894,-1.20191914,1.44,-0.78,* eps Ori,B0Ia,1968ApJS...17..371L,1.65,0.45,2007A&A...474..653V,s*b,Blue Supergiant,0,20445.5,689.745,0.00165,0.00045,393854.0,260224.0,49.7228,14.8762,2.08001,0.0674298,0.408145,0.0808024,0.0,606.0606060606061,1.05736,0.0777473,1,294.505,22.3792,7.7283e-06,1.70565e-06,569.528,202.674,8.17679e-06,1.48701e-06,297.639,263.822,1.36493,0.983308,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[2.044554e+04,2.080007e+00,4.081451e-01,-2.172225e+00,2.469093e+00,2.473690e+00,1.364929e+00,8.288019e-02]",-58.0972,64.811,12,1665333710.253879,http://drgmk.com/sdb/seds/masters/sdb-v2-053612.81-011206.9/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-053612.81-011206.9/public/sdb-v2-053612.81-011206.9-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-053612.81-011206.9/public/sdb-v2-053612.81-011206.9-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-053612.81-011206.9/public/sdb-v2-053612.81-011206.9-mnest/phoenix_m+modbb_disk_r_.json,0.0007602469860063008
27,sdb-v2-053738.69+210833.3,sdb-v2-053738.69+210833.3,HIP 26451,0.176,84.411189,21.142544,1.78,-20.07,* zet Tau,B1IVe_shell,1982ApJS...50...55S,7.33,0.82,2007A&A...474..653V,Be*,Be Star,0,14643.5,970.502,0.00733,0.00082,3212.41,892.529,8.86052,1.14708,2.88274,0.429461,-2.11038,1.42365,0.0,136.4256480218281,0.173905,0.0268945,1,582.146,22.9781,0.000623995,9.5022e-05,12.8777,1.86918,0.000106945,8.95361e-06,249.095,266.428,1.5664,1.0119,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[1.464352e+04,2.882742e+00,-2.110380e+00,-2.376469e+00,2.765032e+00,2.396365e+00,1.566401e+00,1.113043e-02]",-38.9939,33.8422,15,1665333726.308512,http://drgmk.com/sdb/seds/masters/sdb-v2-053738.69+210833.3/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-053738.69+210833.3/public/sdb-v2-053738.69+210833.3-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-053738.69+210833.3/public/sdb-v2-053738.69+210833.3-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-053738.69+210833.3/public/sdb-v2-053738.69+210833.3-mnest/phoenix_m+modbb_disk_r_.json,0.0006018362890800887
28,sdb-v2-053938.94-340426.8,sdb-v2-053938.94-340426.8,HIP 26634,-1.0,84.9122543,-34.07410972,1.58,-24.82,* alf Col,B9Ve,2006MNRAS.371..252L,12.48,0.36,2007A&A...474..653V,Be*,Be Star,0,12734.8,371.541,0.01248,0.00036,1012.65,106.984,6.53908,0.210009,3.86203,0.230674,-1.16353,0.721396,0.0,80.12820512820512,0.158933,0.0139238,1,440.489,15.6687,0.000188149,1.38001e-05,12.6906,0.815569,2.97756e-05,1.9559e-06,269.954,288.944,1.57009,1.02052,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[1.273481e+04,3.862034e+00,-1.163533e+00,-2.174222e+00,2.643935e+00,2.431289e+00,1.570092e+00,-5.545947e-02]",-74.2889,95.5269,15,1665333865.34032,http://drgmk.com/sdb/seds/masters/sdb-v2-053938.94-340426.8/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-053938.94-340426.8/public/sdb-v2-053938.94-340426.8-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-053938.94-340426.8/public/sdb-v2-053938.94-340426.8-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-053938.94-340426.8/public/sdb-v2-053938.94-340426.8-mnest/phoenix_m+modbb_disk_r_.json,0.0007562169753775652
29,sdb-v2-054045.53-015633.3,sdb-v2-054045.53-015633.3,HIP 26727,-1.0,85.18969443,-1.94257359,3.19,2.03,* zet Ori,O9.7Ib+B0III,2014yCat....1.2023S,4.43,0.64,2007A&A...474..653V,**,Double or Multiple Star,0,19734.2,213.964,0.00443,0.00064,101891.0,29824.3,27.3226,3.89341,4.4508,0.0401752,-3.59031,0.0503724,0.0,225.73363431151242,2.02329,0.0966254,1,59.8902,20.753,7.59362e-07,1.10064e-06,7010.17,5277.95,1.54665e-06,2.23424e-06,130.324,241.473,1.33077,0.98594,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[1.973425e+04,4.450802e+00,-3.590305e+00,-1.826853e+00,1.777356e+00,2.115023e+00,1.330765e+00,2.261529e+00,1.426436e+00,1.408181e+00,1.578997e+00,1.550195e+00]",-325.176,599.141,383,1665337132.860134,http://drgmk.com/sdb/seds/masters/sdb-v2-054045.53-015633.3/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-054045.53-015633.3/public/sdb-v2-054045.53-015633.3-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-054045.53-015633.3/public/sdb-v2-054045.53-015633.3-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-054045.53-015633.3/public/sdb-v2-054045.53-015633.3-mnest/phoenix_m+modbb_disk_r_.json,0.0011216075821123338
30,sdb-v2-054745.39-094010.6,sdb-v2-054745.39-094010.6,HIP 27366,-1.0,86.93912017,-9.66960492,1.46,-1.28,* kap Ori,B0.5Ia,1968ApJS...17..371L,5.04,0.22,2007A&A...474..653V,s*b,Blue Supergiant,0,21171.5,1674.43,0.00504,0.00022,33482.5,9880.13,13.479,0.776356,2.10151,0.079715,0.166491,1.00753,0.0,198.4126984126984,0.821239,0.233908,1,780.204,129.835,2.74539e-05,1.34764e-05,23.6582,8.56209,2.39896e-05,1.08739e-05,124.367,226.171,1.20058,0.873154,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[2.117148e+04,2.101510e+00,1.664912e-01,-2.335618e+00,2.892208e+00,2.094704e+00,1.200579e+00,-1.150840e+00]",-29.7581,17.7643,11,1665334004.4415622,http://drgmk.com/sdb/seds/masters/sdb-v2-054745.39-094010.6/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-054745.39-094010.6/public/sdb-v2-054745.39-094010.6-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-054745.39-094010.6/public/sdb-v2-054745.39-094010.6-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-054745.39-094010.6/public/sdb-v2-054745.39-094010.6-mnest/phoenix_m+modbb_disk_r_.json,0.000629511105165459
31,sdb-v2-055057.59-354605.9,sdb-v2-055057.59-354605.9,HIP 27628,-1.0,87.7399675,-35.76830978,54.77,404.2,* bet Col,K1III_CN+1,2006AJ....132..161G,37.41,0.12,2007A&A...474..653V,PM*,High Proper Motion Star,0,4675.23,8.56671,0.03741,0.00012,50.35,0.434131,10.8123,0.0710548,4.16009,0.0486557,0.468408,0.0264225,0.0,26.73082063619353,0.0704438,0.00039872,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[4.675230e+03,4.160090e+00,4.684077e-01,-7.857928e-01]",-209.588,373.581,21,1665333973.619982,http://drgmk.com/sdb/seds/masters/sdb-v2-055057.59-354605.9/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-055057.59-354605.9/public/sdb-v2-055057.59-354605.9-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-055057.59-354605.9/public/sdb-v2-055057.59-354605.9-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-055057.59-354605.9/public/sdb-v2-055057.59-354605.9-mnest/phoenix_m_.json,0.0037481846824374406
34,sdb-v2-062018.79-300348.1,sdb-v2-062018.79-300348.1,HIP 30122,-1.0,95.07830017,-30.06336673,7.32,4.03,* zet CMa,B2.5V,1982MSS...C03....0H,9.0,0.13,2007A&A...474..653V,Ce*,Cepheid Variable,0,18146.4,621.374,0.009,0.00013,3082.03,351.131,5.59325,0.12156,4.37302,0.110026,-0.160395,0.459778,0.0,111.11111111111111,0.249648,0.0280033,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[1.814637e+04,4.373021e+00,-1.603945e-01,-2.595694e+00]",-24.1079,18.1456,18,1665334230.315853,http://drgmk.com/sdb/seds/masters/sdb-v2-062018.79-300348.1/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-062018.79-300348.1/public/sdb-v2-062018.79-300348.1-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-062018.79-300348.1/public/sdb-v2-062018.79-300348.1-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-062018.79-300348.1/public/sdb-v2-062018.79-300348.1-mnest/phoenix_m_.json,0.00046646807586493065
35,sdb-v2-062241.99-175721.3,sdb-v2-062241.99-175721.3,HIP 30324,-1.0,95.67493897,-17.95591871,-3.23,-0.78,* bet CMa,B1II-III,1968ApJS...17..371L,6.62,0.22,2007A&A...474..653V,bC*,beta Cep Variable,0,24468.9,659.36,0.00662,0.00022,29353.2,2765.8,9.58229,0.507466,3.03916,0.359175,-2.59225,1.59254,0.0,151.05740181268882,1.28533,0.0929582,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[2.446893e+04,3.039161e+00,-2.592250e+00,-2.401220e+00]",-21.3043,32.5197,17,1665334234.9897962,http://drgmk.com/sdb/seds/masters/sdb-v2-062241.99-175721.3/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-062241.99-175721.3/public/sdb-v2-062241.99-175721.3-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-062241.99-175721.3/public/sdb-v2-062241.99-175721.3-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-062241.99-175721.3/public/sdb-v2-062241.99-175721.3-mnest/phoenix_m_.json,0.0005878174654342297
37,sdb-v2-063742.71+162357.4,sdb-v2-063742.71+162357.4,HIP 31681,-1.0,99.42796043,16.39928043,13.81,-54.96,* gam Gem,A1.5IV+,2003AJ....126.2048G,29.84,2.23,2007A&A...474..653V,SB*,Spectroscopic binary,0,9207.18,74.1251,0.02984,0.00223,183.133,28.2094,5.32863,0.420687,3.63564,0.0646219,-2.55315,1.04804,0.0,33.51206434316354,0.163444,0.00429429,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[9.207182e+03,3.635644e+00,-2.553148e+00,-1.599067e+00]",-23.9375,14.4397,17,1665334365.8366458,http://drgmk.com/sdb/seds/masters/sdb-v2-063742.71+162357.4/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-063742.71+162357.4/public/sdb-v2-063742.71+162357.4-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-063742.71+162357.4/public/sdb-v2-063742.71+162357.4-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-063742.71+162357.4/public/sdb-v2-063742.71+162357.4-mnest/phoenix_m_.json,0.0014734302113676503
38,sdb-v2-064355.93+250752.1,sdb-v2-064355.93+250752.1,HIP 32246,-1.0,100.98302608,25.13112541,-5.57,-12.36,* eps Gem,G8Ib,1989ApJS...71..245K,3.86,0.17,2007A&A...474..653V,V*,Variable Star,0,4390.06,7.8405,0.00386,0.00017,6442.94,569.752,138.795,6.16831,2.03443,0.0303099,0.452884,0.0408335,0.0,259.0673575129534,0.0955943,0.000607911,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[4.390058e+03,2.034427e+00,4.528842e-01,-5.438900e-01]",-149.229,253.3,23,1665334439.184696,http://drgmk.com/sdb/seds/masters/sdb-v2-064355.93+250752.1/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-064355.93+250752.1/public/sdb-v2-064355.93+250752.1-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-064355.93+250752.1/public/sdb-v2-064355.93+250752.1-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-064355.93+250752.1/public/sdb-v2-064355.93+250752.1-mnest/phoenix_m_.json,0.004964509110408637
39,sdb-v2-064508.92-164258.0,sdb-v2-064508.92-164258.0,HIP 32349,-1.0,101.28715533,-16.71611586,-546.01,-1223.07,* alf CMa,A1V+DA,2013yCat....1.2023S,379.21,1.58,2007A&A...474..653V,SB*,Spectroscopic binary,0,10241.2,512.066,0.37921,0.00158,31.4879,5.41285,1.77844,0.0303125,4.18113,0.151415,-2.98342,0.6265,0.0,2.637061258933045,4.54224,0.783495,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[1.024123e+04,4.181128e+00,-2.983421e+00,-3.415377e-01]",-32.7861,38.1299,26,1646829678.438185,http://drgmk.com/sdb/seds/masters/sdb-v2-064508.92-164258.0/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-064508.92-164258.0/public/sdb-v2-064508.92-164258.0-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-064508.92-164258.0/public/sdb-v2-064508.92-164258.0-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-064508.92-164258.0/public/sdb-v2-064508.92-164258.0-mnest/phoenix_m_.json,0.006249340459117724
40,sdb-v2-065837.55-285819.5,sdb-v2-065837.55-285819.5,HIP 33579,-1.0,104.65645315,-28.97208616,3.24,1.33,* eps CMa,B1.5II,2015A&A...574A..20F,8.05,0.14,2007A&A...474..653V,*,Star,0,22936.2,588.943,0.00805,0.00014,27041.4,2322.8,10.4794,0.580877,2.53819,0.591595,-1.73518,1.42607,0.0,124.22360248447205,1.76471,0.134954,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[2.293617e+04,2.538192e+00,-1.735176e+00,-2.147959e+00]",-16.9757,11.105,15,1665334510.752322,http://drgmk.com/sdb/seds/masters/sdb-v2-065837.55-285819.5/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-065837.55-285819.5/public/sdb-v2-065837.55-285819.5-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-065837.55-285819.5/public/sdb-v2-065837.55-285819.5-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-065837.55-285819.5/public/sdb-v2-065837.55-285819.5-mnest/phoenix_m_.json,0.0007817132696943752
41,sdb-v2-070143.15-275605.4,sdb-v2-070143.15-275605.4,HIP 33856,-1.0,105.42978244,-27.93483049,-5.98,4.59,* sig CMa,K5Ib,1989ApJS...71..245K,2.91,0.19,2007A&A...474..653V,LP*,Long-Period Variable,0,3385.55,42.3346,0.00291,0.00019,11933.4,1485.26,317.963,19.3262,4.46467,0.0301189,-3.74619,0.126306,0.0,343.6426116838488,0.101083,0.00210769,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.385549e+03,4.464667e+00,-3.746186e+00,-6.794929e-02]",-99.7834,157.448,15,1665334539.436712,http://drgmk.com/sdb/seds/masters/sdb-v2-070143.15-275605.4/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-070143.15-275605.4/public/sdb-v2-070143.15-275605.4-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-070143.15-275605.4/public/sdb-v2-070143.15-275605.4-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-070143.15-275605.4/public/sdb-v2-070143.15-275605.4-mnest/phoenix_m_.json,0.008574025306816472
42,sdb-v2-070301.47-234959.9,sdb-v2-070301.47-234959.9,HIP 33977,-1.0,105.75613381,-23.83329231,-2.21,3.61,* omi02 CMa,B3Ia,1950ApJ...112..362M,1.18,0.4,2007A&A...474..653V,s*b,Blue Supergiant,0,16647.7,313.028,0.00118,0.0004,155441.0,138891.0,47.1418,18.8696,2.05817,0.0464804,-1.07343,0.391842,0.0,847.457627118644,0.220632,0.013175,1,687.097,100.436,6.75586e-05,2.4758e-05,66.303,32.9105,1.49926e-05,5.43515e-06,312.877,275.216,1.37696,1.03868,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[1.664772e+04,2.058168e+00,-1.073429e+00,-2.499807e+00,2.837018e+00,2.495373e+00,1.376963e+00,-1.121214e+00]",-51.8654,54.3761,17,1665334620.438122,http://drgmk.com/sdb/seds/masters/sdb-v2-070301.47-234959.9/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-070301.47-234959.9/public/sdb-v2-070301.47-234959.9-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-070301.47-234959.9/public/sdb-v2-070301.47-234959.9-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-070301.47-234959.9/public/sdb-v2-070301.47-234959.9-mnest/phoenix_m+modbb_disk_r_.json,0.0005154699522101557
43,sdb-v2-070823.48-262335.5,sdb-v2-070823.48-262335.5,HIP 34444,-1.0,107.09785021,-26.39319958,-3.12,3.31,* del CMa,F8Ia,2001AJ....121.2148G,2.03,0.38,2007A&A...474..653V,s*y,Yellow supergiant star,0,5974.02,8.64186,0.00203,0.00038,39876.5,15679.3,186.925,35.1963,2.04362,0.0214837,0.381934,0.0544947,0.0,492.61083743842363,0.16191,0.00115649,1,868.359,46.9526,0.000913292,0.000176322,21.0444,4.54922,0.000147412,2.80829e-05,322.859,305.759,1.13137,0.906603,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[5.974016e+03,2.043618e+00,3.819342e-01,-8.499772e-01,2.938700e+00,2.509014e+00,1.131373e+00,-5.714263e-01]",-207.449,347.549,12,1665334644.0259478,http://drgmk.com/sdb/seds/masters/sdb-v2-070823.48-262335.5/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-070823.48-262335.5/public/sdb-v2-070823.48-262335.5-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-070823.48-262335.5/public/sdb-v2-070823.48-262335.5-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-070823.48-262335.5/public/sdb-v2-070823.48-262335.5-mnest/phoenix_m+modbb_disk_r_.json,0.003516240836216986
44,sdb-v2-071708.56-370550.9,sdb-v2-071708.56-370550.9,HIP 35264,-1.0,109.28565325,-37.09747115,-10.05,6.47,* pi. Pup,K4III,1966ApJ...146..587L,4.04,0.33,2007A&A...474..653V,LP*,Long-period variable star,0,4714.98,5.16472,0.00404,0.00033,4220.34,721.044,97.3923,8.28486,4.47081,0.0192335,0.448634,0.0115129,0.0,247.5247524752475,0.068527,0.00050129,1,938.046,13.1976,0.0668064,0.00215039,5.70861,0.490226,0.00458202,0.000133151,15.4993,0.25937,2.97412,0.0106514,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[4.714985e+03,4.470811e+00,4.486341e-01,-8.124993e-01,2.972224e+00,1.190312e+00,2.974117e+00,7.603183e-01]",-3592.28,7091.15,18,1665334779.668649,http://drgmk.com/sdb/seds/masters/sdb-v2-071708.56-370550.9/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-071708.56-370550.9/public/sdb-v2-071708.56-370550.9-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-071708.56-370550.9/public/sdb-v2-071708.56-370550.9-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-071708.56-370550.9/public/sdb-v2-071708.56-370550.9-mnest/phoenix_m+modbb_disk_r_.json,0.0036460378549867706
45,sdb-v2-072405.70-291811.2,sdb-v2-072405.70-291811.2,HIP 35904,0.104,111.0237334,-29.3030938,1.055,2.449,* eta CMa,B5Ia,2009A&A...501..297Z,1.64,0.4,2007A&A...474..653V,s*b,Blue supergiant star,0,15915.6,328.467,0.00164,0.0004,183256.0,98157.0,56.4278,14.127,2.08817,0.0642129,-1.04561,0.476153,0.0,609.7560975609756,0.495804,0.0408974,1,357.855,141.503,6.23024e-06,5.10381e-06,270.067,270.135,3.10489e-06,2.38709e-06,104.729,197.121,1.41968,0.932701,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[1.591557e+04,2.088168e+00,-1.045606e+00,-2.063943e+00,2.553707e+00,2.020067e+00,1.419680e+00,-6.853942e-01]",-30.9771,20.1368,6,1665334760.1038861,http://drgmk.com/sdb/seds/masters/sdb-v2-072405.70-291811.2/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-072405.70-291811.2/public/sdb-v2-072405.70-291811.2-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-072405.70-291811.2/public/sdb-v2-072405.70-291811.2-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-072405.70-291811.2/public/sdb-v2-072405.70-291811.2-mnest/phoenix_m+modbb_disk_r_.json,0.0008575355881884903
46,sdb-v2-072709.04+081721.5,sdb-v2-072709.04+081721.5,HIP 36188,-1.0,111.78767391,8.28931576,-51.76,-38.29,* bet CMi,B8Ve,2006MNRAS.371..252L,20.17,0.2,2007A&A...474..653V,Be*,Be Star,0,9073.38,4.78129,0.02017,0.0002,174.195,3.58526,5.34248,0.0539704,4.27759,0.00384714,-1.66382,0.0323944,0.0,49.578582052553294,0.0708711,0.000149209,1,316.672,0.476068,0.000124341,4.4728e-07,10.1965,0.111484,8.81303e-06,1.99264e-08,50.8783,1.14233,0.0342491,0.00817762,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[9.073377e+03,4.277589e+00,-1.663823e+00,-1.935054e+00,2.500609e+00,1.706533e+00,3.424912e-02,-1.172750e-02,8.564067e-01,9.294997e-01,9.974062e-01,1.123151e+00]",-2766.99,5346.15,395,1645369900.342016,http://drgmk.com/sdb/seds/masters/sdb-v2-072709.04+081721.5/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-072709.04+081721.5/public/sdb-v2-072709.04+081721.5-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-072709.04+081721.5/public/sdb-v2-072709.04+081721.5-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-072709.04+081721.5/public/sdb-v2-072709.04+081721.5-mnest/phoenix_m+modbb_disk_r_.json,0.000998536603170458
47,sdb-v2-072913.83-431805.2,sdb-v2-072913.83-431805.2,HIP 36377,-1.0,112.30762705,-43.30143324,-59.55,188.31,* sig Pup,K5III,1978MSS...C02....0H,16.84,0.48,2007A&A...474..653V,SB*,Spectroscopic Binary,0,3650.31,4.08788,0.01684,0.00048,359.966,19.9679,47.4531,1.3264,4.46789,0.0276338,-3.40044,0.0716208,0.0,59.38242280285036,0.102414,0.00122144,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.650310e+03,4.467894e+00,-3.400442e+00,-1.933410e-01]",-268.51,494.137,24,1665334866.3441842,http://drgmk.com/sdb/seds/masters/sdb-v2-072913.83-431805.2/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-072913.83-431805.2/public/sdb-v2-072913.83-431805.2-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-072913.83-431805.2/public/sdb-v2-072913.83-431805.2-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-072913.83-431805.2/public/sdb-v2-072913.83-431805.2-mnest/phoenix_m_.json,0.0074049454305320835
